date,value
1961-01-01,1.300724108
1962-01-01,1.724346205
1963-01-01,2.083322486
1964-01-01,2.053199826
1965-01-01,2.055241434
1966-01-01,2.108667888
1967-01-01,2.049528067
1968-01-01,2.05577951
1969-01-01,2.088176946
1970-01-01,2.091252763
1971-01-01,2.133116863
1972-01-01,2.031211372
1973-01-01,1.982943369
1974-01-01,1.929549363
1975-01-01,1.855833672
1976-01-01,1.795079677
1977-01-01,1.749615333
1978-01-01,1.748020185
1979-01-01,1.76204179
1980-01-01,1.748661042
1981-01-01,1.764067678
1982-01-01,1.800490486
1983-01-01,1.784324039
1984-01-01,1.747125301
1985-01-01,1.74895086
1986-01-01,1.768300781
1987-01-01,1.783001185
1988-01-01,1.770183168
1989-01-01,1.738568625
1990-01-01,1.735441851
1991-01-01,1.66842051
1992-01-01,1.572928191
1993-01-01,1.564565042
1994-01-01,1.520440161
1995-01-01,1.505991107
1996-01-01,1.452694657
1997-01-01,1.427219157
1998-01-01,1.3916082
1999-01-01,1.351790967
2000-01-01,1.323075779
2001-01-01,1.29759343
2002-01-01,1.276808312
2003-01-01,1.26147763
2004-01-01,1.254263401
2005-01-01,1.246923845
2006-01-01,1.243694974
2007-01-01,1.235741213
2008-01-01,1.240854067
2009-01-01,1.22174269
2010-01-01,1.203332769
2011-01-01,1.17025833
2012-01-01,1.183934512
2013-01-01,1.183844763
2014-01-01,1.180215961
2015-01-01,1.168739776
2016-01-01,1.16374431
2017-01-01,1.143856981
2018-01-01,1.106150609
2019-01-01,1.065130533
2020-01-01,1.035990848
