date,value
1961-01-01,2.9111137
1962-01-01,2.921449282
1963-01-01,2.908778683
1964-01-01,2.868020496
1965-01-01,2.80848866
1966-01-01,2.748109909
1967-01-01,2.693171235
1968-01-01,2.635760545
1969-01-01,2.576979284
1970-01-01,2.519732597
1971-01-01,2.460882066
1972-01-01,2.408581124
1973-01-01,2.375059433
1974-01-01,2.364459527
1975-01-01,2.368917449
1976-01-01,2.373059877
1977-01-01,2.371178009
1978-01-01,2.369530218
1979-01-01,2.366856485
1980-01-01,2.360482982
1981-01-01,2.355192712
1982-01-01,2.341859987
1983-01-01,2.305650878
1984-01-01,2.241798255
1985-01-01,2.159943013
1986-01-01,2.073964828
1987-01-01,1.994822996
1988-01-01,1.923233431
1989-01-01,1.862958436
1990-01-01,1.811518838
1991-01-01,1.759414194
1992-01-01,1.707339233
1993-01-01,1.664862312
1994-01-01,1.633788884
1995-01-01,1.609710307
1996-01-01,1.588838302
1997-01-01,1.563731974
1998-01-01,1.528961881
1999-01-01,1.481109752
2000-01-01,1.424167442
2001-01-01,1.366955955
2002-01-01,1.31274755
2003-01-01,1.257379967
2004-01-01,1.201294141
2005-01-01,1.145884772
2006-01-01,1.090192573
2007-01-01,1.037864683
2008-01-01,0.994310572
2009-01-01,0.9619467153
2010-01-01,0.9379593067
2011-01-01,0.9159651785
2012-01-01,0.8935255067
2013-01-01,0.8736056958
2014-01-01,0.8557959641
2015-01-01,0.8388389533
2016-01-01,0.8237521525
2017-01-01,0.8071452454
2018-01-01,0.7838442597
2019-01-01,0.7515508421
2020-01-01,0.7128727911
