date,value
1961-01-01,3.152516521
1962-01-01,3.267630984
1963-01-01,3.350176552
1964-01-01,3.39241202
1965-01-01,3.399895888
1966-01-01,3.414246744
1967-01-01,3.414297179
1968-01-01,3.343442591
1969-01-01,3.191308991
1970-01-01,2.997516724
1971-01-01,2.791433038
1972-01-01,2.630440159
1973-01-01,2.553397565
1974-01-01,2.583319076
1975-01-01,2.684146064
1976-01-01,2.806122568
1977-01-01,2.906227326
1978-01-01,2.980331027
1979-01-01,3.015741698
1980-01-01,3.028713022
1981-01-01,3.029833082
1982-01-01,3.047848748
1983-01-01,3.103203803
1984-01-01,3.204569893
1985-01-01,3.327471452
1986-01-01,3.449330059
1987-01-01,3.536096404
1988-01-01,3.569574007
1989-01-01,3.53926381
1990-01-01,3.466926593
1991-01-01,3.394118734
1992-01-01,3.331161823
1993-01-01,3.256017304
1994-01-01,3.169690531
1995-01-01,3.082397158
1996-01-01,2.99042883
1997-01-01,2.917054432
1998-01-01,2.891897753
1999-01-01,2.924931353
2000-01-01,2.994707035
2001-01-01,3.076130696
2002-01-01,3.141283828
2003-01-01,3.180408248
2004-01-01,3.184828229
2005-01-01,3.167959273
2006-01-01,3.153290179
2007-01-01,3.15180932
2008-01-01,3.155900984
2009-01-01,3.167526076
2010-01-01,3.186609818
2011-01-01,3.182452073
2012-01-01,3.180750229
2013-01-01,3.23378201
2014-01-01,3.352682078
2015-01-01,3.49774773
2016-01-01,3.65686447
2017-01-01,3.755686611
2018-01-01,3.725163906
2019-01-01,3.541932206
2020-01-01,3.269713347
