date,value
1961-01-01,1.657730037
1962-01-01,1.537997358
1963-01-01,1.439164762
1964-01-01,1.389046055
1965-01-01,1.250171646
1966-01-01,1.154893191
1967-01-01,1.088881207
1968-01-01,0.9984610436
1969-01-01,0.9772428119
1970-01-01,1.165002667
1971-01-01,1.264333692
1972-01-01,1.070522752
1973-01-01,0.9544767286
1974-01-01,0.9136601961
1975-01-01,0.9859860673
1976-01-01,0.950220049
1977-01-01,1.005771996
1978-01-01,1.05957308
1979-01-01,1.103576565
1980-01-01,0.9595899228
1981-01-01,0.9814154373
1982-01-01,0.9533175662
1983-01-01,0.9143785134
1984-01-01,0.8658173363
1985-01-01,0.8861290409
1986-01-01,0.9241641571
1987-01-01,0.893829201
1988-01-01,0.9079990402
1989-01-01,0.9444055554
1990-01-01,1.12965052
1991-01-01,1.336260741
1992-01-01,1.386885692
1993-01-01,1.31868
1994-01-01,1.226296089
1995-01-01,1.190787091
1996-01-01,1.16341162
1997-01-01,1.203960297
1998-01-01,1.165714526
1999-01-01,1.148340047
2000-01-01,1.112768997
2001-01-01,0.9897413822
2002-01-01,0.9277974857
2003-01-01,0.8594817128
2004-01-01,0.9254839689
2005-01-01,0.9217131672
2006-01-01,0.9642539171
2007-01-01,0.9510552428
2008-01-01,0.9458652873
2009-01-01,0.8766512988
2010-01-01,0.8296166747
2011-01-01,0.7267867048
2012-01-01,0.7335999413
2013-01-01,0.6928602766
2014-01-01,0.7333615199
2015-01-01,0.7362173088
2016-01-01,0.7246760675
2017-01-01,0.6326439951
2018-01-01,0.5264353956
2019-01-01,0.455381286
2020-01-01,0.3509110633
