date,value
1961-01-01,3.003302824
1962-01-01,2.976975156
1963-01-01,2.948323935
1964-01-01,2.920953237
1965-01-01,2.891308603
1966-01-01,2.861799111
1967-01-01,2.821624454
1968-01-01,2.758104512
1969-01-01,2.667346569
1970-01-01,2.561400128
1971-01-01,2.456021317
1972-01-01,2.364687209
1973-01-01,2.289895227
1974-01-01,2.236503082
1975-01-01,2.201132315
1976-01-01,2.166684619
1977-01-01,2.138036757
1978-01-01,2.13556648
1979-01-01,2.163505829
1980-01-01,2.209934262
1981-01-01,2.260406813
1982-01-01,2.299439377
1983-01-01,2.320987537
1984-01-01,2.319028572
1985-01-01,2.299113744
1986-01-01,2.268333797
1987-01-01,2.23527016
1988-01-01,2.202280447
1989-01-01,2.171866033
1990-01-01,2.138677878
1991-01-01,2.10754383
1992-01-01,2.061828203
1993-01-01,1.979087416
1994-01-01,1.851231842
1995-01-01,1.695285274
1996-01-01,1.534383169
1997-01-01,1.389656102
1998-01-01,1.265726153
1999-01-01,1.171059811
2000-01-01,1.100433196
2001-01-01,1.035893387
2002-01-01,0.976001214
2003-01-01,0.9366065413
2004-01-01,0.9206020863
2005-01-01,0.922551594
2006-01-01,0.931893993
2007-01-01,0.9433809358
2008-01-01,0.9598367351
2009-01-01,0.9794092187
2010-01-01,1.000128838
2011-01-01,1.022101084
2012-01-01,1.04162218
2013-01-01,1.0530623
2014-01-01,1.053635811
2015-01-01,1.044781055
2016-01-01,1.034107367
2017-01-01,1.020198501
2018-01-01,0.9943104723
2019-01-01,0.9542890222
2020-01-01,0.9045179057
